run_id	dataset_id	rqvae_run_id	rqvae_ablation	downstream_dataset_id	model	model_config	train_examples	val_examples	test_examples	item_count	sequence_count	training_steps_completed	training_seconds	validation_loss	test_recall_at_10	test_ndcg_at_10	test_recall_at_5	test_ndcg_at_5	test_mrr_at_10	coverage_at_10	artifact_uri	wandb_url	status	decision	notes
downstream-structured-t5_tiger_small-20260530T211034Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v1	t5_tiger_small	{"batch_size":128,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v1","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"t5_tiger_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-t5_tiger_small-20260530T211034Z","seed":17}															/vol/auto-rec-sys/demo/runs/downstream-structured-t5_tiger_small-20260530T211034Z		crash	crash	RuntimeError('No listing view rows matched semantic ID assignment artifacts.')
downstream-structured-sasrec_small-20260530T211034Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v1	sasrec_small	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v1","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"sasrec_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-sasrec_small-20260530T211034Z","seed":17}															/vol/auto-rec-sys/demo/runs/downstream-structured-sasrec_small-20260530T211034Z		crash	crash	RuntimeError('No listing view rows matched semantic ID assignment artifacts.')
downstream-structured-gru4rec_small-20260530T211034Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v1	gru4rec_small	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v1","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"gru4rec_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-gru4rec_small-20260530T211034Z","seed":17}															/vol/auto-rec-sys/demo/runs/downstream-structured-gru4rec_small-20260530T211034Z		crash	crash	RuntimeError('No listing view rows matched semantic ID assignment artifacts.')
downstream-structured-popularity_baseline-20260530T211034Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v1	popularity_baseline	{"batch_size":512,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v1","eval_limit":5000,"hidden_dim":64,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"popularity_baseline","num_heads":4,"num_layers":1,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-popularity_baseline-20260530T211034Z","seed":17}															/vol/auto-rec-sys/demo/runs/downstream-structured-popularity_baseline-20260530T211034Z		crash	crash	RuntimeError('No listing view rows matched semantic ID assignment artifacts.')
downstream-structured-v3-dataset-20260530T211557Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v3	dataset_only	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v3","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":20,"min_sequence_len":3,"model":"dataset_only","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v3-dataset-20260530T211557Z","seed":17}															/vol/auto-rec-sys/demo/runs/downstream-structured-v3-dataset-20260530T211557Z		crash	crash	RuntimeError('No listing view rows matched semantic ID assignment artifacts.')
downstream-structured-v4-dataset-20260530T212022Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v4	dataset_only	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v4","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":20,"min_sequence_len":3,"model":"dataset_only","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v4-dataset-20260530T212022Z","seed":17}	0	0	0	0	0	0	0.0	None	None	None	None	None	None	None	/vol/auto-rec-sys/demo/runs/downstream-structured-v4-dataset-20260530T212022Z		ok	keep	Dataset-only materialization run.
downstream-structured-v5-dataset-20260530T212418Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v5	dataset_only	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v5","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":20,"min_sequence_len":3,"model":"dataset_only","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v5-dataset-20260530T212418Z","seed":17}															/vol/auto-rec-sys/demo/runs/downstream-structured-v5-dataset-20260530T212418Z		crash	crash	RuntimeError('Downstream dataset has no held-out examples: {"candidate_sequence_length_max": 1, "candidate_sequence_length_min": 1, "candidate_sequence_length_p50": 1.0, "candidate_sequence_length_p95": 1.0, "dropped_invalid_view_rows": 162082, "item_count": 0, "matched_group_count": 4947, "matched_view_rows": 231795, "semantic_item_count": 1209839, "sequence_count": 0, "sequence_length_max": 0, "sequence_length_min": 0, "sequence_length_p50": 0.0, "sequence_length_p95": 0.0, "source_view_rows": 393877, "test_examples": 0, "train_examples": 0, "val_examples": 0}')
downstream-structured-v7-dataset-20260530T213644Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v7	dataset_only	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v7","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":20,"min_sequence_len":3,"model":"dataset_only","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v7-dataset-20260530T213644Z","seed":17}	331923	4904	4904	50000	4904	0	0.0	None	None	None	None	None	None	None	/vol/auto-rec-sys/demo/runs/downstream-structured-v7-dataset-20260530T213644Z		ok	keep	Dataset-only materialization run.
downstream-structured-v7-t5_tiger_small-20260530T214233Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v7	t5_tiger_small	{"batch_size":128,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v7","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"t5_tiger_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v7-t5_tiger_small-20260530T214233Z","seed":17}	331923	4904	4904	50000	4904	7137	290.963	2.398489561947909	0.015497553017944535	0.007934436379163355	0.010603588907014683	0.006345037202551076	0.005617943887723659	0.023390203632361033	/vol/auto-rec-sys/demo/runs/downstream-structured-v7-t5_tiger_small-20260530T214233Z		ok	keep	T5 evaluation uses unconstrained beam generation mapped exactly to semantic ID tokens; preliminary if beams do not map to catalog IDs.
downstream-structured-v7-sasrec_small-20260530T214233Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v7	sasrec_small	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v7","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"sasrec_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v7-sasrec_small-20260530T214233Z","seed":17}	331923	4904	4904	50000	4904	11973	281.283	nan	0.06749592169657423	0.04038654605191484	0.049755301794453505	0.03470484012175453	0.03203305044149253	2.3260869565217392	/vol/auto-rec-sys/demo/runs/downstream-structured-v7-sasrec_small-20260530T214233Z		ok	keep	
